iter	Passed	Remaining
0	3	3477
1	7	3819
2	11	3934
3	16	4085
4	22	4539
5	30	4971
6	36	5242
7	44	5499
8	50	5552
9	56	5634
10	62	5627
11	67	5537
12	72	5512
13	77	5431
14	82	5388
15	86	5323
16	90	5260
17	95	5210
18	100	5163
19	104	5131
20	109	5099
21	113	5060
22	118	5035
23	123	5005
24	127	4985
25	132	4981
26	137	4956
27	142	4931
28	146	4908
29	151	4893
30	156	4883
31	160	4862
32	165	4841
33	170	4831
34	174	4817
35	179	4795
36	184	4796
37	188	4784
38	193	4768
39	198	4752
40	202	4746
41	207	4732
42	211	4716
43	217	4724
44	223	4736
45	228	4736
46	234	4753
47	240	4770
48	244	4754
49	250	4754
50	254	4742
51	259	4731
52	264	4732
53	269	4721
54	274	4709
55	278	4700
56	283	4689
57	287	4676
58	292	4672
59	298	4669
60	302	4657
61	307	4646
62	312	4650
63	317	4641
64	321	4629
65	326	4621
66	331	4614
67	335	4604
68	340	4599
69	345	4593
70	350	4582
71	355	4576
72	359	4566
73	364	4559
74	368	4550
75	373	4537
76	377	4529
77	382	4518
78	387	4517
79	392	4516
80	397	4507
81	401	4492
82	405	4482
83	409	4464
84	413	4453
85	420	4468
86	425	4467
87	431	4470
88	435	4461
89	439	4448
90	443	4434
91	447	4420
92	452	4408
93	455	4393
94	460	4383
95	463	4367
96	467	4352
97	471	4340
98	475	4327
99	478	4310
100	482	4298
101	486	4283
102	490	4270
103	493	4254
104	497	4238
105	500	4224
106	504	4212
107	508	4198
108	511	4184
109	515	4172
110	519	4160
111	523	4150
112	526	4135
113	530	4121
114	534	4114
115	539	4107
116	542	4096
117	547	4089
118	551	4081
119	555	4075
120	559	4066
121	564	4061
122	569	4060
123	573	4054
124	578	4046
125	582	4037
126	586	4033
127	592	4033
128	596	4027
129	601	4022
130	605	4019
131	611	4019
132	615	4014
133	620	4010
134	628	4025
135	634	4028
136	640	4036
137	646	4036
138	656	4064
139	662	4071
140	669	4081
141	676	4085
142	681	4081
143	685	4075
144	690	4070
145	695	4067
146	699	4061
147	704	4054
148	708	4044
149	712	4039
150	716	4029
151	720	4017
152	723	4007
153	727	3997
154	731	3989
155	735	3977
156	739	3968
157	742	3957
158	746	3948
159	749	3937
160	753	3928
161	757	3917
162	761	3907
163	764	3897
164	768	3891
165	786	3950
166	790	3944
167	795	3938
168	799	3930
169	802	3920
170	806	3909
171	810	3901
172	814	3894
173	818	3885
174	822	3875
175	826	3869
176	831	3866
177	835	3858
178	839	3850
179	844	3848
180	849	3845
181	853	3835
182	857	3827
183	861	3819
184	864	3810
185	868	3802
186	872	3794
187	877	3788
188	881	3781
189	885	3776
190	890	3770
191	894	3765
192	899	3759
193	904	3758
194	908	3751
195	912	3742
196	916	3733
197	920	3728
198	925	3725
199	929	3717
200	933	3709
201	936	3700
202	941	3695
203	944	3687
204	948	3678
205	953	3674
206	957	3669
207	961	3662
208	965	3655
209	969	3647
210	973	3639
211	977	3632
212	980	3623
213	984	3614
214	988	3608
215	991	3600
216	995	3591
217	999	3584
218	1004	3582
219	1008	3575
220	1012	3567
221	1017	3567
222	1022	3561
223	1026	3555
224	1029	3547
225	1036	3550
226	1042	3549
227	1046	3544
228	1051	3541
229	1055	3535
230	1060	3528
231	1063	3521
232	1068	3515
233	1071	3507
234	1074	3499
235	1079	3493
236	1083	3488
237	1087	3480
238	1090	3473
239	1094	3466
240	1099	3462
241	1103	3456
242	1106	3448
243	1110	3441
244	1114	3434
245	1118	3427
246	1121	3419
247	1125	3413
248	1129	3406
249	1133	3399
250	1136	3392
251	1140	3384
252	1143	3377
253	1147	3370
254	1151	3363
255	1154	3356
256	1158	3349
257	1162	3342
258	1166	3336
259	1170	3331
260	1174	3324
261	1178	3318
262	1182	3312
263	1186	3306
264	1189	3299
265	1193	3292
266	1197	3286
267	1201	3280
268	1204	3273
269	1208	3267
270	1212	3261
271	1216	3256
272	1220	3249
273	1224	3243
274	1227	3236
275	1232	3232
276	1237	3229
277	1241	3225
278	1247	3222
279	1250	3216
280	1254	3210
281	1258	3204
282	1263	3199
283	1266	3193
284	1270	3187
285	1274	3181
286	1279	3177
287	1282	3170
288	1286	3164
289	1289	3158
290	1293	3152
291	1297	3146
292	1301	3140
293	1305	3134
294	1309	3130
295	1313	3124
296	1317	3117
297	1320	3111
298	1324	3104
299	1328	3099
300	1332	3094
301	1336	3090
302	1341	3085
303	1345	3080
304	1348	3073
305	1352	3067
306	1356	3062
307	1360	3057
308	1364	3051
309	1368	3045
310	1372	3039
311	1375	3034
312	1379	3028
313	1383	3023
314	1387	3017
315	1391	3011
316	1395	3005
317	1399	3002
318	1403	2996
319	1407	2990
320	1410	2984
321	1415	2979
322	1419	2975
323	1424	2971
324	1430	2971
325	1435	2968
326	1441	2966
327	1447	2965
328	1453	2964
329	1458	2960
330	1462	2956
331	1467	2952
332	1473	2951
333	1478	2947
334	1482	2943
335	1487	2939
336	1492	2936
337	1497	2932
338	1502	2929
339	1507	2925
340	1512	2923
341	1517	2918
342	1522	2915
343	1527	2912
344	1533	2910
345	1538	2908
346	1543	2904
347	1549	2903
348	1555	2901
349	1560	2898
350	1564	2892
351	1567	2886
352	1571	2880
353	1574	2873
354	1578	2867
355	1582	2862
356	1585	2856
357	1589	2850
358	1593	2844
359	1597	2839
360	1601	2835
361	1605	2829
362	1608	2823
363	1613	2818
364	1616	2812
365	1619	2806
366	1623	2800
367	1627	2795
368	1632	2791
369	1637	2788
370	1642	2784
371	1648	2782
372	1651	2776
373	1655	2770
374	1659	2765
375	1663	2760
376	1666	2754
377	1670	2748
378	1674	2743
379	1678	2738
380	1682	2733
381	1685	2727
382	1690	2723
383	1694	2717
384	1697	2712
385	1702	2707
386	1706	2702
387	1710	2697
388	1714	2692
389	1718	2687
390	1722	2682
391	1726	2677
392	1730	2672
393	1734	2667
394	1738	2662
395	1742	2657
396	1745	2651
397	1750	2647
398	1754	2642
399	1757	2636
400	1761	2631
401	1765	2626
402	1769	2621
403	1773	2615
404	1777	2611
405	1780	2605
406	1784	2600
407	1788	2595
408	1792	2590
409	1796	2585
410	1800	2579
411	1804	2574
412	1808	2569
413	1812	2566
414	1816	2560
415	1820	2555
416	1823	2550
417	1829	2547
418	1833	2542
419	1838	2538
420	1842	2533
421	1846	2529
422	1852	2527
423	1856	2522
424	1860	2516
425	1864	2511
426	1868	2506
427	1871	2501
428	1875	2495
429	1879	2491
430	1883	2486
431	1887	2481
432	1890	2475
433	1894	2471
434	1898	2466
435	1902	2460
436	1905	2455
437	1909	2450
438	1913	2444
439	1917	2439
440	1920	2434
441	1924	2429
442	1929	2425
443	1932	2420
444	1936	2415
445	1940	2410
446	1945	2406
447	1949	2402
448	1953	2397
449	1956	2391
450	1960	2387
451	1964	2381
452	1968	2376
453	1972	2371
454	1976	2367
455	1980	2362
456	1983	2357
457	1987	2352
458	1991	2347
459	1996	2343
460	1999	2338
461	2003	2332
462	2007	2328
463	2010	2322
464	2014	2317
465	2018	2312
466	2022	2307
467	2025	2302
468	2029	2297
469	2033	2292
470	2038	2289
471	2043	2285
472	2047	2280
473	2052	2277
474	2055	2271
475	2059	2267
476	2063	2262
